x0,y0,x1,y1,score,label
27421,1904,27436,1922,0.1594,-100
23648,2400,23684,2445,0.5044,2
23706,2385,23746,2412,0.4175,1
23685,2399,23716,2428,0.5029,1
23792,2415,23824,2436,0.4387,2
23566,2442,23608,2488,0.3081,1
23732,2368,23746,2398,0.1686,-100
23948,2399,23984,2446,0.6147,2
24131,2385,24164,2414,0.7441,2
24096,2434,24127,2486,0.7544,2
24235,2204,24260,2261,0.7397,2
24096,2347,24116,2365,0.5645,2
23824,2360,23868,2388,0.3955,2
23914,2446,23951,2496,0.5938,2
24202,2353,24233,2399,0.6704,2
23902,2440,23934,2470,0.3394,2
24119,2204,24150,2236,0.4714,2
23954,2442,23976,2478,0.4519,2
24284,2142,24306,2166,0.4263,2
24278,2334,24302,2366,0.5112,2
24148,2230,24173,2242,0.3845,2
24212,2433,24231,2456,0.3589,2
24138,2262,24155,2278,0.2698,2
24138,2246,24161,2263,0.2708,2
23870,2362,23892,2380,0.204,2
23904,2393,23919,2418,0.191,-100
24132,2249,24158,2276,0.1542,2
24184,2240,24195,2254,0.1545,-100
24179,2197,24204,2231,0.1508,-100
24480,2131,24506,2184,0.7725,2
24798,2269,24828,2321,0.7939,2
24323,2407,24344,2458,0.7466,2
24563,2280,24594,2346,0.7295,2
24676,2203,24702,2250,0.7202,2
24541,2154,24562,2182,0.6665,2
24574,2069,24606,2098,0.4026,1
24535,2394,24560,2434,0.6748,2
24719,2446,24755,2474,0.6953,2
24762,2290,24802,2332,0.6729,2
24505,2358,24528,2382,0.4087,2
24506,2220,24521,2244,0.5796,2
24479,2296,24497,2332,0.6514,2
24615,2218,24642,2264,0.6377,2
24344,2225,24365,2256,0.5581,2
24618,2098,24654,2134,0.5444,2
24464,2102,24487,2124,0.3787,2
24324,2132,24342,2149,0.4954,2
24473,2047,24487,2064,0.373,3
24475,2067,24501,2088,0.2084,2
24710,2107,24724,2132,0.5298,2
24619,2094,24634,2110,0.4209,3
24558,2254,24576,2278,0.4683,2
24500,2292,24519,2330,0.4758,2
24590,2183,24603,2199,0.3743,2
24548,2296,24564,2317,0.4019,2
24404,2340,24430,2403,0.4543,2
24373,2197,24397,2228,0.4133,2
24770,2273,24790,2291,0.3489,2
24783,2349,24805,2379,0.3303,2
24741,2038,24760,2056,0.29,2
24448,2178,24459,2196,0.2849,2
24775,1943,24823,2029,0.2534,2
24530,2073,24565,2108,0.2306,-100
24422,2075,24435,2089,0.2264,-100
24506,2101,24518,2126,0.1884,2
24732,2463,24753,2478,0.1882,2
24453,2050,24466,2062,0.1787,-100
24590,2304,24603,2332,0.175,2
25134,2431,25186,2459,0.8159,1
25190,2282,25234,2323,0.8091,1
25144,2383,25188,2413,0.8062,1
25155,2320,25205,2362,0.8057,1
25272,2269,25302,2300,0.7139,1
25234,1992,25269,2035,0.7471,1
25236,2197,25269,2218,0.7461,2
25258,2039,25295,2079,0.7769,1
25195,2015,25222,2082,0.4998,1
25292,1991,25322,2036,0.6699,1
25217,2346,25279,2394,0.7661,1
25231,2276,25270,2320,0.7271,1
25322,1955,25353,1996,0.6953,1
24834,2209,24872,2260,0.7515,2
25206,1968,25244,2005,0.7266,1
24962,1947,24997,1999,0.6797,2
24925,2302,24991,2340,0.6963,2
25176,2356,25212,2390,0.6733,1
25177,2400,25206,2426,0.6562,1
24892,2358,24921,2392,0.6416,2
24892,2081,24933,2129,0.6504,2
24913,2250,24955,2298,0.6191,2
25066,2461,25100,2483,0.3213,1
25111,2452,25136,2478,0.4185,1
25210,2340,25250,2368,0.5693,1
24937,1949,24963,2021,0.5674,2
25221,2396,25251,2422,0.52,1
25307,2215,25335,2237,0.4746,2
25184,2165,25214,2191,0.4983,2
25256,2117,25286,2150,0.3071,2
25235,2086,25250,2114,0.3362,2
25130,2011,25144,2030,0.3494,2
24868,2399,24886,2419,0.3921,2
24966,2390,24987,2408,0.3459,2
24926,2322,24958,2340,0.2881,2
25226,2434,25250,2468,0.1948,1
25268,1963,25292,2002,0.2037,-100
25216,2356,25253,2392,0.1654,1
25371,2075,25413,2112,0.7114,1
25566,2230,25601,2272,0.8394,1
25472,2333,25524,2373,0.8271,1
25753,2176,25796,2218,0.8228,1
25792,2381,25824,2409,0.8027,1
25812,2282,25845,2320,0.8003,1
25438,2410,25472,2452,0.8076,1
25808,2150,25844,2184,0.7964,1
25602,2446,25632,2478,0.8042,1
25824,2372,25854,2406,0.8008,1
25816,2322,25855,2358,0.79,1
25806,2412,25836,2447,0.7939,1
25484,2425,25526,2455,0.7969,1
25469,2378,25514,2422,0.7944,1
25660,2424,25699,2458,0.7944,1
25790,2345,25825,2381,0.791,1
25490,2450,25530,2488,0.7876,1
25504,2217,25537,2245,0.7715,1
25688,2158,25726,2204,0.7705,1
25647,2393,25695,2423,0.7725,1
25512,2258,25540,2310,0.6904,1
25818,2198,25848,2239,0.7285,1
25660,2134,25714,2175,0.7534,1
25495,2128,25543,2158,0.6304,1
25538,2364,25575,2404,0.7437,1
25778,2125,25808,2143,0.4495,1
25525,2427,25567,2453,0.7422,1
25626,1964,25654,1984,0.5039,2
25760,2338,25788,2376,0.7319,1
25552,1964,25580,1996,0.4739,2
25480,2008,25507,2037,0.449,1
25432,2366,25471,2410,0.7085,1
25684,2103,25724,2131,0.4529,1
25529,2206,25561,2230,0.686,1
25808,2232,25840,2266,0.6655,1
25717,2296,25741,2324,0.6372,1
25575,1954,25601,1976,0.5337,2
25782,2440,25823,2465,0.5093,1
25685,2286,25709,2305,0.3311,1
25448,2267,25483,2301,0.4785,1
25480,2156,25514,2191,0.4136,1
25640,1979,25664,2004,0.3406,2
25804,2060,25850,2100,0.4768,2
25569,2287,25613,2314,0.5361,1
25614,2210,25642,2229,0.3743,2
25671,2315,25690,2342,0.438,2
25563,2092,25581,2111,0.2781,2
25655,2339,25686,2366,0.4626,1
25542,2162,25562,2182,0.259,2
25548,2222,25574,2243,0.4297,1
25720,2110,25749,2132,0.2476,2
25682,2367,25704,2394,0.3918,1
25657,2372,25691,2398,0.3608,1
25552,2316,25574,2339,0.2732,1
25735,2190,25763,2224,0.3103,1
25772,2295,25799,2328,0.2126,1
25480,2174,25500,2192,0.1874,-100
25741,2265,25776,2309,0.1703,-100
25752,2427,25774,2444,0.1656,-100
25786,2337,25796,2355,0.1538,-100
25589,2137,25619,2170,0.153,-100
26194,2363,26240,2414,0.8711,1
26130,2079,26153,2101,0.832,3
25899,2400,25949,2448,0.8228,1
26102,1985,26133,2013,0.3477,2
26161,2202,26198,2240,0.4302,5
25982,2059,26016,2101,0.75,1
26112,2328,26154,2367,0.7969,1
26224,2274,26268,2316,0.8135,1
25878,2000,25926,2047,0.8091,1
25917,2061,25964,2107,0.7969,1
26277,2183,26323,2218,0.7812,1
26001,2029,26027,2059,0.7036,3
26249,2038,26282,2066,0.7588,2
26136,2226,26172,2268,0.5747,2
25936,1978,25972,2023,0.75,1
26218,2316,26255,2362,0.7637,1
25863,2329,25890,2371,0.7388,1
26002,2160,26038,2183,0.5068,2
26070,2249,26092,2278,0.5176,2
26096,2077,26118,2100,0.7324,3
26148,2304,26187,2335,0.7002,1
26273,2031,26309,2054,0.437,2
26223,1972,26252,2000,0.4802,2
26252,2349,26286,2388,0.7217,1
25907,1968,25939,1998,0.6235,1
26338,2366,26370,2391,0.4187,1
26040,2000,26065,2032,0.4009,1
26358,1994,26378,2019,0.4292,2
26106,2174,26127,2190,0.384,2
25896,2093,25936,2132,0.7173,1
26286,2109,26321,2145,0.6152,1
26278,2062,26298,2087,0.5332,2
25916,2263,25955,2296,0.5469,1
26096,2118,26120,2150,0.5488,2
25858,2448,25881,2484,0.5679,1
26284,2272,26330,2326,0.6646,1
26168,1989,26196,2010,0.6538,2
26355,2458,26374,2478,0.2644,2
25944,2380,25971,2412,0.5864,1
26360,2058,26380,2091,0.4675,2
25948,2238,25977,2269,0.3931,2
25940,2015,25985,2043,0.627,1
26340,2234,26368,2280,0.5664,1
25866,2268,25886,2293,0.3123,1
25941,2199,25963,2226,0.4446,2
26059,2059,26078,2075,0.4353,2
25879,2224,25914,2244,0.324,2
26092,2432,26115,2460,0.4438,2
26271,2417,26307,2438,0.3013,2
26159,2016,26187,2042,0.405,2
26132,2362,26172,2393,0.3577,1
25874,2086,25891,2131,0.363,2
26144,2391,26190,2429,0.2236,1
25891,2356,25910,2375,0.1947,1
26293,2142,26314,2168,0.1648,2
25944,2156,25984,2186,0.1567,2
25941,2097,25984,2139,0.2883,1
25968,2186,25986,2200,0.2732,-100
26354,2288,26378,2318,0.2603,-100
25966,2164,25986,2186,0.1978,-100
26280,2420,26311,2446,0.1736,-100
26380,2208,26447,2278,0.874,1
26721,2219,26760,2270,0.7524,1
26448,2319,26492,2372,0.8164,1
26751,2039,26786,2068,0.8101,1
26752,2009,26790,2041,0.7852,1
26365,2158,26417,2201,0.8159,1
26559,2424,26591,2466,0.7695,1
26603,2284,26632,2318,0.5928,1
26821,2028,26854,2069,0.749,1
26578,2454,26621,2486,0.4602,1
26820,2237,26843,2274,0.7632,2
26700,1990,26729,2023,0.667,1
26530,1959,26554,1982,0.4351,1
